Pavarde             Vardas              	ND1	ND2	ND3	ND4	Egzaminas	Galutinis(Vid/Med)
Pavarde510          Vardas510           	2	1	2	2	1	1.3
Pavarde424          Vardas424           	3	2	1	2	1	1.4
Pavarde578          Vardas578           	3	2	4	2	1	1.7
Pavarde604          Vardas604           	3	4	1	3	1	1.7
Pavarde907          Vardas907           	6	2	1	3	1	1.8
Pavarde507          Vardas507           	1	2	2	1	2	1.8
Pavarde623          Vardas623           	1	1	2	3	2	1.9
Pavarde842          Vardas842           	2	1	5	5	1	1.9
Pavarde791          Vardas791           	5	1	7	1	1	2
Pavarde223          Vardas223           	3	6	4	1	1	2
Pavarde353          Vardas353           	1	1	5	7	1	2
Pavarde366          Vardas366           	4	7	1	2	1	2
Pavarde481          Vardas481           	3	3	4	4	1	2
Pavarde1            Vardas1             	2	1	2	9	1	2
Pavarde361          Vardas361           	9	3	2	1	1	2.1
Pavarde259          Vardas259           	1	3	1	5	2	2.2
Pavarde739          Vardas739           	3	2	6	5	1	2.2
Pavarde533          Vardas533           	3	5	1	2	2	2.3
Pavarde701          Vardas701           	4	1	2	4	2	2.3
Pavarde984          Vardas984           	2	1	4	10	1	2.3
Pavarde224          Vardas224           	2	1	7	7	1	2.3
Pavarde135          Vardas135           	1	4	8	4	1	2.3
Pavarde541          Vardas541           	4	7	5	1	1	2.3
Pavarde188          Vardas188           	6	3	5	3	1	2.3
Pavarde309          Vardas309           	3	5	2	7	1	2.3
Pavarde548          Vardas548           	5	5	3	4	1	2.3
Pavarde496          Vardas496           	10	4	1	2	1	2.3
Pavarde50           Vardas50            	5	1	4	8	1	2.4
Pavarde945          Vardas945           	5	2	7	4	1	2.4
Pavarde893          Vardas893           	10	4	3	1	1	2.4
Pavarde62           Vardas62            	3	8	2	5	1	2.4
Pavarde700          Vardas700           	2	2	7	1	2	2.4
Pavarde10           Vardas10            	2	2	10	4	1	2.4
Pavarde498          Vardas498           	3	7	7	1	1	2.4
Pavarde491          Vardas491           	2	3	8	5	1	2.4
Pavarde404          Vardas404           	8	6	2	2	1	2.4
Pavarde213          Vardas213           	3	9	4	3	1	2.5
Pavarde200          Vardas200           	3	6	2	8	1	2.5
Pavarde674          Vardas674           	1	1	7	10	1	2.5
Pavarde587          Vardas587           	6	1	4	8	1	2.5
Pavarde582          Vardas582           	2	5	7	5	1	2.5
Pavarde258          Vardas258           	9	2	1	7	1	2.5
Pavarde821          Vardas821           	8	7	3	1	1	2.5
Pavarde360          Vardas360           	1	1	10	1	2	2.5
Pavarde345          Vardas345           	2	7	2	9	1	2.6
Pavarde184          Vardas184           	6	4	2	2	2	2.6
Pavarde315          Vardas315           	8	3	2	1	2	2.6
Pavarde420          Vardas420           	5	3	5	1	2	2.6
Pavarde620          Vardas620           	8	3	2	1	2	2.6
Pavarde476          Vardas476           	7	5	1	7	1	2.6
Pavarde926          Vardas926           	5	5	6	4	1	2.6
Pavarde190          Vardas190           	6	3	1	10	1	2.6
Pavarde681          Vardas681           	9	3	1	7	1	2.6
Pavarde20           Vardas20            	4	1	3	1	3	2.7
Pavarde9            Vardas9             	1	2	5	1	3	2.7
Pavarde848          Vardas848           	4	6	3	8	1	2.7
Pavarde101          Vardas101           	4	3	6	2	2	2.7
Pavarde72           Vardas72            	1	2	9	3	2	2.7
Pavarde652          Vardas652           	4	5	10	2	1	2.7
Pavarde79           Vardas79            	4	3	6	8	1	2.7
Pavarde831          Vardas831           	4	2	1	8	2	2.7
Pavarde602          Vardas602           	9	1	9	2	1	2.7
Pavarde704          Vardas704           	9	3	1	8	1	2.7
Pavarde95           Vardas95            	6	4	9	2	1	2.7
Pavarde768          Vardas768           	1	5	9	6	1	2.7
Pavarde29           Vardas29            	4	9	8	1	1	2.8
Pavarde890          Vardas890           	3	1	10	8	1	2.8
Pavarde654          Vardas654           	3	6	9	4	1	2.8
Pavarde142          Vardas142           	9	2	7	4	1	2.8
Pavarde174          Vardas174           	3	6	10	3	1	2.8
Pavarde474          Vardas474           	10	4	6	2	1	2.8
Pavarde970          Vardas970           	8	3	2	3	2	2.8
Pavarde592          Vardas592           	6	2	1	1	3	2.8
Pavarde813          Vardas813           	4	4	7	7	1	2.8
Pavarde336          Vardas336           	6	3	5	8	1	2.8
Pavarde344          Vardas344           	1	1	5	3	3	2.8
Pavarde754          Vardas754           	1	4	3	8	2	2.8
Pavarde981          Vardas981           	10	2	3	8	1	2.9
Pavarde727          Vardas727           	3	5	1	2	3	2.9
Pavarde187          Vardas187           	5	3	1	2	3	2.9
Pavarde413          Vardas413           	2	2	3	10	2	2.9
Pavarde173          Vardas173           	1	1	7	2	3	2.9
Pavarde558          Vardas558           	2	4	1	4	3	2.9
Pavarde529          Vardas529           	2	8	6	7	1	2.9
Pavarde815          Vardas815           	1	8	4	4	2	2.9
Pavarde931          Vardas931           	7	9	3	4	1	2.9
Pavarde553          Vardas553           	6	7	8	2	1	2.9
Pavarde940          Vardas940           	3	5	5	10	1	2.9
Pavarde153          Vardas153           	1	9	6	2	2	3
Pavarde650          Vardas650           	7	5	7	5	1	3
Pavarde189          Vardas189           	6	8	3	1	2	3
Pavarde417          Vardas417           	2	1	4	5	3	3
Pavarde214          Vardas214           	8	8	1	7	1	3
Pavarde976          Vardas976           	9	3	2	10	1	3
Pavarde338          Vardas338           	1	8	6	3	2	3
Pavarde948          Vardas948           	5	2	6	5	2	3
Pavarde285          Vardas285           	6	1	2	3	3	3
Pavarde721          Vardas721           	9	3	9	3	1	3
Pavarde730          Vardas730           	9	5	2	2	2	3
