Pavarde             Vardas              ND1       ND2       ND3       ND4       ND5       Egzaminas           Galutinis (Vid.)    Galutinis (Med.)    
Pavarde1            Vardas1             3         4         8         8         9         6                   6.2                 6.8                 
Pavarde2            Vardas2             1         1         4         4         6         8                   6.1                 6.4                 
Pavarde3            Vardas3             2         2         5         9         9         7                   6.4                 6.2                 
Pavarde4            Vardas4             1         4         7         8         9         10                  8.3                 8.8                 
Pavarde5            Vardas5             1         1         3         4         9         9                   6.8                 6.6                 
Pavarde6            Vardas6             3         5         6         7         9         4                   4.8                 4.8                 
Pavarde7            Vardas7             5         6         7         8         9         3                   4.6                 4.6                 
Pavarde8            Vardas8             1         3         3         6         6         4                   3.9                 3.6                 
Pavarde9            Vardas9             4         4         5         9         9         5                   5.5                 5                   
Pavarde10           Vardas10            1         2         5         6         8         1                   2.4                 2.6                 
Pavarde11           Vardas11            4         8         9         10        10        6                   6.9                 7.2                 
Pavarde12           Vardas12            1         1         3         9         10        1                   2.5                 1.8                 
Pavarde13           Vardas13            3         4         4         9         9         10                  8.3                 7.6                 
Pavarde14           Vardas14            2         3         4         7         7         4                   4.2                 4                   
Pavarde15           Vardas15            2         5         5         8         8         2                   3.4                 3.2                 
Pavarde16           Vardas16            3         7         8         8         10        6                   6.5                 6.8                 
Pavarde17           Vardas17            2         4         5         7         8         8                   6.9                 6.8                 
Pavarde18           Vardas18            5         5         8         9         9         8                   7.7                 8                   
Pavarde19           Vardas19            1         2         4         5         6         9                   6.8                 7                   
Pavarde20           Vardas20            1         4         4         5         9         10                  7.8                 7.6                 
Pavarde21           Vardas21            3         4         6         7         8         6                   5.8                 6                   
Pavarde22           Vardas22            3         3         4         4         8         5                   4.8                 4.6                 
Pavarde23           Vardas23            1         2         3         8         8         1                   2.4                 1.8                 
Pavarde24           Vardas24            1         2         3         6         9         5                   4.7                 4.2                 
Pavarde25           Vardas25            2         4         9         9         10        3                   4.5                 5.4                 
Pavarde26           Vardas26            3         3         7         8         9         2                   3.6                 4                   
Pavarde27           Vardas27            3         4         4         5         5         3                   3.5                 3.4                 
Pavarde28           Vardas28            6         6         9         9         10        5                   6.2                 6.6                 
Pavarde29           Vardas29            2         4         4         8         9         3                   4                   3.4                 
Pavarde30           Vardas30            2         2         4         8         8         2                   3.1                 2.8                 
Pavarde31           Vardas31            3         6         6         6         9         10                  8.4                 8.4                 
Pavarde32           Vardas32            4         5         6         7         10        3                   4.4                 4.2                 
Pavarde33           Vardas33            2         2         3         5         10        3                   3.6                 3                   
Pavarde34           Vardas34            1         1         4         6         6         10                  7.4                 7.6                 
Pavarde35           Vardas35            3         4         7         9         9         9                   8                   8.2                 
Pavarde36           Vardas36            5         6         7         8         10        6                   6.5                 6.4                 
Pavarde37           Vardas37            4         6         8         9         10        10                  9                   9.2                 
Pavarde38           Vardas38            3         4         5         7         9         10                  8.2                 8                   
Pavarde39           Vardas39            3         3         5         9         10        10                  8.4                 8                   
Pavarde40           Vardas40            1         3         3         3         4         10                  7.1                 7.2                 
Pavarde41           Vardas41            3         4         5         6         8         5                   5.1                 5                   
Pavarde42           Vardas42            3         4         6         6         9         2                   3.4                 3.6                 
Pavarde43           Vardas43            4         6         9         10        10        6                   6.7                 7.2                 
Pavarde44           Vardas44            5         7         7         9         10        8                   7.8                 7.6                 
Pavarde45           Vardas45            4         5         6         6         9         4                   4.8                 4.8                 
Pavarde46           Vardas46            1         1         5         9         10        4                   4.5                 4.4                 
Pavarde47           Vardas47            2         4         6         6         10        5                   5.2                 5.4                 
Pavarde48           Vardas48            1         2         6         7         9         3                   3.8                 4.2                 
Pavarde49           Vardas49            6         8         10        10        10        9                   8.9                 9.4                 
Pavarde50           Vardas50            1         3         3         6         10        5                   4.8                 4.2                 
Pavarde51           Vardas51            2         3         3         8         10        5                   5.1                 4.2                 
Pavarde52           Vardas52            2         3         4         5         9         5                   4.8                 4.6                 
Pavarde53           Vardas53            2         5         5         6         8         2                   3.3                 3.2                 
Pavarde54           Vardas54            1         6         8         9         10        7                   6.9                 7.4                 
Pavarde55           Vardas55            1         3         5         8         9         4                   4.5                 4.4                 
Pavarde56           Vardas56            2         6         8         8         8         2                   3.8                 4.4                 
Pavarde57           Vardas57            1         2         8         8         10        6                   5.9                 6.8                 
Pavarde58           Vardas58            2         3         5         8         10        8                   7                   6.8                 
Pavarde59           Vardas59            5         5         6         6         8         5                   5.4                 5.4                 
Pavarde60           Vardas60            1         4         4         4         9         10                  7.8                 7.6                 
Pavarde61           Vardas61            2         2         5         6         7         8                   6.6                 6.8                 
Pavarde62           Vardas62            3         5         7         7         10        6                   6.2                 6.4                 
Pavarde63           Vardas63            1         2         3         4         7         10                  7.4                 7.2                 
Pavarde64           Vardas64            2         3         6         7         8         1                   2.7                 3                   
Pavarde65           Vardas65            1         5         5         6         9         10                  8.1                 8                   
Pavarde66           Vardas66            1         5         7         8         8         5                   5.3                 5.8                 
Pavarde67           Vardas67            2         3         7         8         9         8                   7.1                 7.6                 
Pavarde68           Vardas68            5         6         7         9         9         3                   4.7                 4.6                 
Pavarde69           Vardas69            4         6         6         7         9         6                   6.2                 6                   
Pavarde70           Vardas70            1         1         5         6         6         3                   3.3                 3.8                 
Pavarde71           Vardas71            1         4         5         9         10        1                   2.9                 2.6                 
Pavarde72           Vardas72            1         3         5         7         9         9                   7.4                 7.4                 
Pavarde73           Vardas73            1         1         3         4         6         8                   6                   6                   
Pavarde74           Vardas74            1         4         4         6         9         8                   6.7                 6.4                 
Pavarde75           Vardas75            1         1         3         3         8         7                   5.5                 5.4                 
Pavarde76           Vardas76            1         4         4         8         9         7                   6.3                 5.8                 
Pavarde77           Vardas77            1         1         1         7         8         8                   6.2                 5.2                 
Pavarde78           Vardas78            5         6         7         7         7         5                   5.6                 5.8                 
Pavarde79           Vardas79            3         6         6         7         7         5                   5.3                 5.4                 
Pavarde80           Vardas80            1         2         3         8         10        9                   7.3                 6.6                 
Pavarde81           Vardas81            2         3         3         7         10        8                   6.8                 6                   
Pavarde82           Vardas82            3         4         6         7         8         7                   6.4                 6.6                 
Pavarde83           Vardas83            1         3         9         9         10        3                   4.4                 5.4                 
Pavarde84           Vardas84            1         2         6         6         7         3                   3.6                 4.2                 
Pavarde85           Vardas85            2         4         4         5         6         8                   6.5                 6.4                 
Pavarde86           Vardas86            4         4         6         6         10        6                   6                   6                   
Pavarde87           Vardas87            1         2         7         9         10        9                   7.7                 8.2                 
Pavarde88           Vardas88            4         8         8         8         9         1                   3.6                 3.8                 
Pavarde89           Vardas89            3         5         7         7         9         6                   6.1                 6.4                 
