Pavarde             Vardas              	ND1	ND2	ND3	ND4	ND5	ND6	Egz		Galutinis
Vardas70            Pavarde70           	6	2	3	1	5	2	1		1.9
Vardas555           Pavarde555          	1	1	4	4	1	10	1		2
Vardas447           Pavarde447          	5	1	1	6	1	8	1		2.1
Vardas763           Pavarde763          	6	10	2	2	3	1	1		2.2
Vardas925           Pavarde925          	4	8	1	2	4	5	1		2.2
Vardas545           Pavarde545          	3	7	4	5	3	2	1		2.2
Vardas186           Pavarde186          	4	4	1	5	8	2	1		2.2
Vardas750           Pavarde750          	5	2	4	1	7	6	1		2.3
Vardas402           Pavarde402          	6	3	2	2	4	8	1		2.3
Vardas761           Pavarde761          	2	2	3	10	1	7	1		2.3
Vardas903           Pavarde903          	5	5	10	1	3	1	1		2.3
Vardas553           Pavarde553          	1	4	6	4	5	5	1		2.3
Vardas902           Pavarde902          	6	2	5	1	10	2	1		2.3
Vardas261           Pavarde261          	1	6	9	5	5	1	1		2.4
Vardas747           Pavarde747          	1	2	7	2	5	1	2		2.4
Vardas631           Pavarde631          	5	6	6	4	4	2	1		2.4
Vardas158           Pavarde158          	1	5	2	4	9	6	1		2.4
Vardas610           Pavarde610          	7	4	5	4	7	1	1		2.5
Vardas156           Pavarde156          	8	2	1	7	2	8	1		2.5
Vardas836           Pavarde836          	10	9	3	2	1	3	1		2.5
Vardas216           Pavarde216          	4	1	5	4	7	8	1		2.5
Vardas56            Pavarde56           	2	9	3	2	1	3	2		2.5
Vardas96            Pavarde96           	4	4	2	6	3	10	1		2.5
Vardas948           Pavarde948          	7	2	5	4	1	10	1		2.5
Vardas39            Pavarde39           	3	7	6	3	8	2	1		2.5
Vardas738           Pavarde738          	4	2	8	2	3	10	1		2.5
Vardas227           Pavarde227          	7	3	2	9	5	4	1		2.6
Vardas972           Pavarde972          	2	8	9	4	4	3	1		2.6
Vardas708           Pavarde708          	5	2	9	2	4	8	1		2.6
Vardas165           Pavarde165          	8	10	4	2	2	4	1		2.6
Vardas382           Pavarde382          	3	2	7	4	10	5	1		2.7
Vardas898           Pavarde898          	1	8	1	8	3	1	2		2.7
Vardas826           Pavarde826          	2	4	4	3	6	3	2		2.7
Vardas778           Pavarde778          	3	5	9	2	2	1	2		2.7
Vardas421           Pavarde421          	3	8	2	5	9	5	1		2.7
Vardas57            Pavarde57           	3	2	6	6	7	8	1		2.7
Vardas510           Pavarde510          	7	5	1	9	8	2	1		2.7
Vardas928           Pavarde928          	1	9	8	2	8	4	1		2.7
Vardas588           Pavarde588          	2	5	7	1	2	6	2		2.7
Vardas941           Pavarde941          	3	6	1	10	10	2	1		2.7
Vardas819           Pavarde819          	5	1	7	9	8	2	1		2.7
Vardas144           Pavarde144          	1	2	6	8	2	4	2		2.7
Vardas29            Pavarde29           	1	4	9	8	6	4	1		2.7
